   No, No1, No2, No3, No4, No5, No6, No7
13044,7,11,13,18,28,5,10
13045,8,11,12,21,25,2,7
13046,15,16,19,25,32,5,11
13047,12,20,28,30,35,3,11
13048,10,11,23,32,33,1,4
13049,18,22,25,31,32,4,6
13050,14,22,30,32,33,7,8
13051,5,8,15,18,33,7,8
13052,1,2,10,29,31,1,10
13053,13,31,33,34,35,5,7
13054,5,8,21,30,32,1,8
13055,4,5,22,23,24,3,9
13056,11,22,30,32,35,3,4
13057,7,15,27,33,35,7,10
13058,20,21,27,31,35,7,11
13059,3,8,11,24,27,7,12
13060,15,25,26,32,35,5,10
13061,1,14,18,21,32,5,10
13062,1,5,8,9,12,9,12
13063,3,5,11,27,28,5,6
13064,21,24,26,28,32,1,3
13065,9,28,31,34,35,2,9
13066,6,7,13,33,34,2,11
13067,2,3,5,8,29,10,12
13068,10,17,27,34,35,5,7
13069,6,12,13,16,30,7,12
13070,9,12,18,21,29,1,8
13071,13,19,26,27,28,3,11
13072,12,27,28,33,35,3,5
13073,3,5,23,27,31,2,6
13074,6,14,20,24,32,1,7
13075,1,11,13,19,35,7,8
13076,13,15,16,26,27,9,10
13077,24,26,30,32,35,6,12
13078,2,7,23,31,33,2,8
13079,9,10,17,21,34,1,7
13080,6,21,23,27,31,4,6
13081,7,9,15,17,23,2,7
13082,3,9,25,26,33,3,12
13083,26,29,30,32,35,4,10
13084,5,7,9,11,20,21,3S
